Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Chemical_Name
Dolostatin,Antipyretic,Cream,142 mg,Eli Lilly and Company,Wound,Prescription,Ibuprofen
Ibuproprofen,Antiseptic,Drops,288 mg,Biogen Inc.,Pain,Over-the-Counter,Ibuprofen
Amoxinazole,Antipyretic,Injection,721 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,Amoxicillin
Ibupromet,Antidiabetic,Cream,242 mg,Novo Nordisk A/S,Infection,Prescription,Ibuprofen
Amoxiphen,Antidiabetic,Tablet,470 mg,Johnson & Johnson,Depression,Over-the-Counter,Amoxicillin
Dextromet,Analgesic,Tablet,723 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,Dextromethorphan
Cefstatin,Antibiotic,Capsule,380 mg,Pfizer Inc.,Diabetes,Prescription,Cefixime
Ibupronazole,Antifungal,Injection,547 mg,Novartis AG,Pain,Over-the-Counter,Ibuprofen
Metoprofen,Antibiotic,Capsule,167 mg,Amgen Inc.,Fever,Prescription,Metformin
Dolophen,Antifungal,Cream,354 mg,Boehringer Ingelheim GmbH,Pain,Prescription,Paracetamol
Amoxivir,Antiviral,Inhaler,1 mg,AbbVie Inc.,Infection,Over-the-Counter,Amoxicillin
Metonazole,Antidiabetic,Tablet,205 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Metronidazole
Metomet,Antidiabetic,Tablet,951 mg,Bayer AG,Fever,Over-the-Counter,Metformin
Metovir,Antiseptic,Drops,1 mg,Amgen Inc.,Infection,Prescription,Metformin
Doloprofen,Antidepressant,Syrup,869 mg,CSL Limited,Fungus,Over-the-Counter,Ibuprofen
Doloprofen,Antiseptic,Tablet,897 mg,Pfizer Inc.,Wound,Over-the-Counter,Ibuprofen
Metophen,Analgesic,Cream,735 mg,Eli Lilly and Company,Diabetes,Over-the-Counter,Metformin
Metophen,Antidepressant,Drops,291 mg,AstraZeneca plc,Depression,Over-the-Counter,Metformin
Cefnazole,Analgesic,Injection,242 mg,"Gilead Sciences, Inc.",Pain,Prescription,Cefixime
Dolophen,Antifungal,Drops,871 mg,Bayer AG,Depression,Over-the-Counter,Paracetamol
Amoxistatin,Antibiotic,Injection,977 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,Amoxicillin
Cefnazole,Antiviral,Syrup,945 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,Cefixime
Acetocillin,Antipyretic,Cream,128 mg,AstraZeneca plc,Depression,Over-the-Counter,Paracetamol
Amoximycin,Antidiabetic,Syrup,463 mg,Sanofi S.A.,Diabetes,Over-the-Counter,Amoxicillin
Dextromycin,Antibiotic,Cream,294 mg,Novartis AG,Pain,Prescription,Azithromycin
Cefstatin,Antidiabetic,Drops,516 mg,Bayer AG,Virus,Prescription,Cefixime
Doloprofen,Antidepressant,Injection,550 mg,Eli Lilly and Company,Fever,Over-the-Counter,Ibuprofen
Metomet,Antidiabetic,Injection,921 mg,Bayer AG,Infection,Over-the-Counter,Metformin
Metomycin,Antiseptic,Capsule,942 mg,GlaxoSmithKline plc,Fever,Prescription,Metformin
Acetomet,Antifungal,Syrup,753 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter,Paracetamol
Clarinazole,Antidiabetic,Cream,619 mg,Bayer AG,Wound,Over-the-Counter,Clarithromycin
Clarimet,Antifungal,Inhaler,564 mg,Novartis AG,Virus,Over-the-Counter,Clarithromycin
Clariprofen,Antifungal,Drops,982 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Clarithromycin
Amoxicillin,Antiviral,Inhaler,782 mg,Amgen Inc.,Wound,Over-the-Counter,Amoxicillin
Cefmet,Antiseptic,Injection,830 mg,CSL Limited,Fungus,Prescription,Cefixime
Dextrovir,Antiseptic,Cream,772 mg,Novo Nordisk A/S,Pain,Prescription,Dextromethorphan
Metoprofen,Antifungal,Inhaler,290 mg,Biogen Inc.,Diabetes,Over-the-Counter,Metformin
Amoximet,Antidiabetic,Capsule,764 mg,Johnson & Johnson,Wound,Over-the-Counter,Amoxicillin
Dolophen,Antiseptic,Injection,153 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter,Paracetamol
Ibupromycin,Antidiabetic,Capsule,915 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter,Azithromycin
Ibuprophen,Antiseptic,Inhaler,611 mg,AbbVie Inc.,Virus,Over-the-Counter,Ibuprofen
Dextroprofen,Antifungal,Syrup,982 mg,Sanofi S.A.,Fever,Prescription,Ibuprofen
Amoxicillin,Antidepressant,Ointment,351 mg,AstraZeneca plc,Infection,Over-the-Counter,Amoxicillin
Metonazole,Antipyretic,Tablet,628 mg,Johnson & Johnson,Diabetes,Prescription,Metronidazole
Ibuprocillin,Analgesic,Syrup,2 mg,Bristol-Myers Squibb Company,Depression,Prescription,Ibuprofen
Ibuprostatin,Antifungal,Cream,719 mg,Sanofi S.A.,Fever,Over-the-Counter,Ibuprofen
Ibupromycin,Antipyretic,Tablet,337 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter,Azithromycin
Dolophen,Antifungal,Syrup,457 mg,Amgen Inc.,Fungus,Over-the-Counter,Paracetamol
Acetocillin,Antiviral,Capsule,272 mg,AstraZeneca plc,Fungus,Over-the-Counter,Paracetamol
Cefmet,Antidiabetic,Inhaler,236 mg,Roche Holding AG,Infection,Prescription,Cefixime
Metophen,Antifungal,Ointment,448 mg,CSL Limited,Virus,Prescription,Metformin
Claricillin,Analgesic,Inhaler,613 mg,Johnson & Johnson,Fungus,Over-the-Counter,Clarithromycin
Cefmet,Antibiotic,Ointment,284 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription,Cefixime
Metomet,Antidiabetic,Syrup,687 mg,Novo Nordisk A/S,Fungus,Prescription,Metformin
Claricillin,Analgesic,Cream,541 mg,CSL Limited,Fever,Prescription,Clarithromycin
Acetoprofen,Antipyretic,Syrup,70 mg,AstraZeneca plc,Wound,Prescription,Ibuprofen
Acetocillin,Antipyretic,Cream,778 mg,Novartis AG,Wound,Over-the-Counter,Paracetamol
Metomet,Analgesic,Injection,326 mg,"Merck & Co., Inc.",Fungus,Prescription,Metformin
Acetovir,Antifungal,Ointment,85 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter,Paracetamol
Dolovir,Analgesic,Inhaler,62 mg,AstraZeneca plc,Wound,Over-the-Counter,Paracetamol
Claricillin,Analgesic,Ointment,13 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,Clarithromycin
Acetoprofen,Antidepressant,Ointment,225 mg,Novartis AG,Infection,Over-the-Counter,Ibuprofen
Cefmet,Antibiotic,Drops,62 mg,Johnson & Johnson,Fungus,Over-the-Counter,Cefixime
Ibuproprofen,Analgesic,Syrup,194 mg,AstraZeneca plc,Fever,Over-the-Counter,Ibuprofen
Amoximycin,Antipyretic,Capsule,24 mg,GlaxoSmithKline plc,Wound,Over-the-Counter,Amoxicillin
Claristatin,Antibiotic,Capsule,731 mg,Amgen Inc.,Depression,Prescription,Clarithromycin
Clariphen,Antidiabetic,Drops,634 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,Clarithromycin
Metonazole,Antifungal,Inhaler,602 mg,Bayer AG,Fungus,Over-the-Counter,Metronidazole
Ibuproprofen,Antidiabetic,Tablet,446 mg,Eli Lilly and Company,Pain,Over-the-Counter,Ibuprofen
Cefstatin,Antiviral,Syrup,373 mg,Eli Lilly and Company,Fever,Prescription,Cefixime
Metocillin,Antiviral,Cream,832 mg,Eli Lilly and Company,Infection,Over-the-Counter,Metformin
Cefcillin,Antipyretic,Ointment,790 mg,Novartis AG,Depression,Over-the-Counter,Cefixime
Dolovir,Analgesic,Drops,572 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Paracetamol
Dextrophen,Antidiabetic,Drops,989 mg,Novo Nordisk A/S,Infection,Prescription,Dextromethorphan
Ibuproprofen,Antiseptic,Syrup,441 mg,AbbVie Inc.,Depression,Over-the-Counter,Ibuprofen
Metomycin,Analgesic,Cream,243 mg,"Merck & Co., Inc.",Depression,Prescription,Metformin
Cefmet,Antifungal,Capsule,957 mg,Amgen Inc.,Infection,Prescription,Cefixime
Amoximycin,Antibiotic,Ointment,451 mg,Novo Nordisk A/S,Virus,Over-the-Counter,Amoxicillin
Amoximycin,Antiseptic,Cream,844 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,Amoxicillin
Metocillin,Analgesic,Injection,183 mg,Novartis AG,Fungus,Over-the-Counter,Metformin
Acetocillin,Antiseptic,Drops,299 mg,Sanofi S.A.,Wound,Over-the-Counter,Paracetamol
Cefvir,Antiviral,Inhaler,198 mg,Johnson & Johnson,Diabetes,Prescription,Cefixime
Cefmycin,Antiseptic,Syrup,118 mg,Pfizer Inc.,Wound,Over-the-Counter,Ceftriaxone
Amoximet,Analgesic,Inhaler,59 mg,Novartis AG,Pain,Prescription,Amoxicillin
Doloprofen,Antifungal,Tablet,957 mg,Bayer AG,Fever,Prescription,Ibuprofen
Metomycin,Antiseptic,Cream,939 mg,"Gilead Sciences, Inc.",Wound,Prescription,Metformin
Dolocillin,Antifungal,Ointment,129 mg,Amgen Inc.,Fever,Prescription,Ibuprofen
Cefvir,Antidiabetic,Syrup,890 mg,AstraZeneca plc,Diabetes,Prescription,Cefixime
Acetoprofen,Antidiabetic,Injection,42 mg,Biogen Inc.,Depression,Prescription,Ibuprofen
Ibuproprofen,Antiseptic,Tablet,338 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription,Ibuprofen
Clarivir,Antiviral,Injection,421 mg,AstraZeneca plc,Wound,Over-the-Counter,Clarithromycin
Acetovir,Antidepressant,Syrup,650 mg,AbbVie Inc.,Pain,Over-the-Counter,Paracetamol
Cefcillin,Antipyretic,Cream,667 mg,Amgen Inc.,Virus,Prescription,Cefixime
Dextrostatin,Antidepressant,Injection,830 mg,Johnson & Johnson,Fungus,Over-the-Counter,Dextromethorphan
Amoxicillin,Antiseptic,Tablet,785 mg,CSL Limited,Fever,Prescription,Amoxicillin
Metovir,Antifungal,Syrup,505 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,Metformin
Cefphen,Antiseptic,Inhaler,422 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,Cefixime
Amoxiphen,Antipyretic,Ointment,375 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter,Amoxicillin
Cefphen,Antifungal,Capsule,536 mg,Sanofi S.A.,Virus,Prescription,Cefixime
Clarivir,Analgesic,Capsule,645 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,Clarithromycin
Clarinazole,Antifungal,Capsule,551 mg,Biogen Inc.,Depression,Over-the-Counter,Clarithromycin
Acetomycin,Antidiabetic,Tablet,292 mg,AstraZeneca plc,Pain,Prescription,Amoxicillin
Clariprofen,Analgesic,Drops,707 mg,Novo Nordisk A/S,Fever,Prescription,Clarithromycin
Clariphen,Analgesic,Injection,265 mg,Roche Holding AG,Fungus,Over-the-Counter,Clarithromycin
Dolovir,Antidiabetic,Capsule,71 mg,Johnson & Johnson,Wound,Over-the-Counter,Paracetamol
Dolonazole,Antiseptic,Drops,393 mg,Biogen Inc.,Virus,Over-the-Counter,Metronidazole
Ibupronazole,Antipyretic,Injection,480 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription,Ibuprofen
Ibuprophen,Antiseptic,Injection,87 mg,AstraZeneca plc,Pain,Over-the-Counter,Ibuprofen
Cefmycin,Antiviral,Cream,198 mg,Sanofi S.A.,Fungus,Prescription,Ceftriaxone
Acetophen,Antidepressant,Tablet,709 mg,Eli Lilly and Company,Pain,Over-the-Counter,Paracetamol
Cefprofen,Antiviral,Injection,689 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription,Cefixime
Metoprofen,Antidiabetic,Injection,332 mg,Pfizer Inc.,Wound,Over-the-Counter,Metformin
Metoprofen,Antiseptic,Cream,174 mg,Novartis AG,Diabetes,Prescription,Metformin
Clarimycin,Antidiabetic,Inhaler,920 mg,Pfizer Inc.,Fever,Over-the-Counter,Clarithromycin
Dextrovir,Antifungal,Ointment,216 mg,Biogen Inc.,Infection,Prescription,Dextromethorphan
Dextrostatin,Antidepressant,Capsule,178 mg,AstraZeneca plc,Infection,Prescription,Dextromethorphan
Ibuprophen,Antidepressant,Drops,657 mg,Bayer AG,Fever,Prescription,Ibuprofen
Amoxiprofen,Antidiabetic,Syrup,309 mg,AbbVie Inc.,Depression,Over-the-Counter,Amoxicillin
Acetophen,Antidiabetic,Drops,794 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,Paracetamol
Dolovir,Antipyretic,Drops,76 mg,Pfizer Inc.,Infection,Over-the-Counter,Paracetamol
Dolocillin,Antidiabetic,Syrup,967 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter,Ibuprofen
Dolonazole,Antibiotic,Tablet,604 mg,Johnson & Johnson,Depression,Prescription,Metronidazole
Metonazole,Antidepressant,Syrup,173 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,Metronidazole
Dextrostatin,Antidiabetic,Syrup,620 mg,Roche Holding AG,Pain,Prescription,Dextromethorphan
Cefvir,Antiseptic,Ointment,516 mg,Sanofi S.A.,Fever,Over-the-Counter,Cefixime
Dextrocillin,Antidepressant,Cream,268 mg,"Merck & Co., Inc.",Virus,Prescription,Amoxicillin
Dextronazole,Antifungal,Tablet,835 mg,Bayer AG,Depression,Prescription,Metronidazole
Amoxicillin,Antidepressant,Syrup,76 mg,Novartis AG,Wound,Prescription,Amoxicillin
Acetomycin,Antidepressant,Cream,48 mg,Novartis AG,Depression,Prescription,Amoxicillin
Metoprofen,Antiseptic,Injection,737 mg,Roche Holding AG,Pain,Over-the-Counter,Metformin
Dextrocillin,Antidiabetic,Capsule,433 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Amoxicillin
Cefstatin,Antiviral,Cream,856 mg,Roche Holding AG,Depression,Over-the-Counter,Cefixime
Ibupromet,Antidepressant,Cream,463 mg,Johnson & Johnson,Depression,Prescription,Ibuprofen
Dextronazole,Antifungal,Injection,494 mg,Novartis AG,Fungus,Prescription,Metronidazole
Acetocillin,Antiviral,Tablet,37 mg,"Gilead Sciences, Inc.",Depression,Prescription,Paracetamol
Acetovir,Antidepressant,Tablet,769 mg,Eli Lilly and Company,Virus,Over-the-Counter,Paracetamol
Cefphen,Analgesic,Cream,217 mg,Novo Nordisk A/S,Infection,Prescription,Cefixime
Acetomycin,Antibiotic,Syrup,410 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,Amoxicillin
Dolophen,Antiviral,Drops,777 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter,Paracetamol
Ibuproprofen,Antidiabetic,Capsule,120 mg,Eli Lilly and Company,Fever,Over-the-Counter,Ibuprofen
Acetocillin,Antifungal,Drops,394 mg,CSL Limited,Fungus,Prescription,Paracetamol
Amoxiprofen,Analgesic,Capsule,609 mg,AstraZeneca plc,Depression,Over-the-Counter,Amoxicillin
Metoprofen,Antidepressant,Cream,462 mg,Johnson & Johnson,Fungus,Over-the-Counter,Metformin
Amoxicillin,Antifungal,Injection,28 mg,Sanofi S.A.,Diabetes,Over-the-Counter,Amoxicillin
Dolovir,Antibiotic,Tablet,640 mg,Eli Lilly and Company,Pain,Over-the-Counter,Paracetamol
Dextrovir,Antiseptic,Cream,715 mg,Roche Holding AG,Infection,Over-the-Counter,Dextromethorphan
Metostatin,Antibiotic,Ointment,488 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Metformin
Dolonazole,Antiviral,Syrup,914 mg,Bayer AG,Diabetes,Prescription,Metronidazole
Metostatin,Antiseptic,Drops,636 mg,Eli Lilly and Company,Infection,Prescription,Metformin
Dolovir,Antibiotic,Syrup,755 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,Paracetamol
Acetomycin,Antiseptic,Ointment,712 mg,Sanofi S.A.,Fungus,Over-the-Counter,Amoxicillin
Dextromycin,Antiseptic,Inhaler,338 mg,Novartis AG,Pain,Prescription,Azithromycin
Cefnazole,Antipyretic,Capsule,220 mg,Novo Nordisk A/S,Depression,Prescription,Cefixime
Ibuprophen,Analgesic,Injection,6 mg,AbbVie Inc.,Virus,Prescription,Ibuprofen
Dextrocillin,Antiviral,Syrup,907 mg,Bayer AG,Depression,Over-the-Counter,Amoxicillin
Ibuprovir,Antiviral,Ointment,203 mg,Novartis AG,Wound,Prescription,Ibuprofen
Dextrocillin,Antidiabetic,Syrup,855 mg,Boehringer Ingelheim GmbH,Infection,Prescription,Amoxicillin
Ibuprocillin,Antipyretic,Capsule,690 mg,Pfizer Inc.,Pain,Over-the-Counter,Ibuprofen
Cefcillin,Antidepressant,Drops,729 mg,Amgen Inc.,Infection,Over-the-Counter,Cefixime
Acetovir,Antiseptic,Tablet,581 mg,Novartis AG,Fever,Prescription,Paracetamol
Claristatin,Antipyretic,Capsule,446 mg,Johnson & Johnson,Fungus,Over-the-Counter,Clarithromycin
Ibuprostatin,Analgesic,Tablet,674 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription,Ibuprofen
Clarinazole,Analgesic,Ointment,738 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Clarithromycin
Dolomycin,Antibiotic,Syrup,46 mg,Roche Holding AG,Fever,Over-the-Counter,Amoxicillin
Dextrophen,Analgesic,Tablet,8 mg,Johnson & Johnson,Pain,Over-the-Counter,Dextromethorphan
Dextronazole,Antibiotic,Ointment,411 mg,Roche Holding AG,Infection,Over-the-Counter,Metronidazole
Claristatin,Antifungal,Tablet,610 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,Clarithromycin
Acetostatin,Antibiotic,Ointment,642 mg,Roche Holding AG,Wound,Over-the-Counter,Paracetamol
Dextrophen,Antipyretic,Ointment,288 mg,CSL Limited,Fungus,Prescription,Dextromethorphan
Clarimycin,Antipyretic,Injection,83 mg,Eli Lilly and Company,Diabetes,Prescription,Clarithromycin
Ibuprovir,Antidiabetic,Syrup,962 mg,CSL Limited,Fungus,Over-the-Counter,Ibuprofen
Ibuprophen,Antidiabetic,Drops,911 mg,Johnson & Johnson,Virus,Prescription,Ibuprofen
Metonazole,Antiviral,Cream,246 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter,Metronidazole
Ibupromet,Antiseptic,Cream,492 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,Ibuprofen
Ibuprovir,Analgesic,Inhaler,776 mg,Bayer AG,Wound,Prescription,Ibuprofen
Dolophen,Analgesic,Cream,276 mg,"Merck & Co., Inc.",Virus,Prescription,Paracetamol
Metonazole,Antibiotic,Tablet,785 mg,Roche Holding AG,Infection,Prescription,Metronidazole
Clarinazole,Antibiotic,Tablet,66 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter,Clarithromycin
Cefmycin,Antidiabetic,Cream,657 mg,GlaxoSmithKline plc,Virus,Prescription,Ceftriaxone
Dolostatin,Antidiabetic,Injection,838 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,Ibuprofen
Cefmet,Antipyretic,Capsule,896 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Cefixime
Amoximet,Antibiotic,Tablet,149 mg,Boehringer Ingelheim GmbH,Infection,Prescription,Amoxicillin
Acetomet,Analgesic,Syrup,550 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,Paracetamol
Dolophen,Antifungal,Syrup,782 mg,AbbVie Inc.,Fever,Prescription,Paracetamol
Cefvir,Antiseptic,Capsule,992 mg,AbbVie Inc.,Fungus,Prescription,Cefixime
Amoximet,Antibiotic,Syrup,39 mg,Bayer AG,Fungus,Prescription,Amoxicillin
Cefcillin,Antiseptic,Injection,32 mg,Novartis AG,Virus,Prescription,Cefixime
Claricillin,Antipyretic,Syrup,97 mg,Roche Holding AG,Fever,Over-the-Counter,Clarithromycin
Metostatin,Antifungal,Capsule,178 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Metformin
Amoxicillin,Antidepressant,Cream,368 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Amoxicillin
Cefvir,Antifungal,Tablet,813 mg,AstraZeneca plc,Infection,Over-the-Counter,Cefixime
Doloprofen,Antidepressant,Injection,217 mg,AbbVie Inc.,Infection,Over-the-Counter,Ibuprofen
Claristatin,Antidiabetic,Capsule,616 mg,"Gilead Sciences, Inc.",Pain,Prescription,Clarithromycin
Dextrophen,Antibiotic,Injection,87 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,Dextromethorphan
Dolocillin,Antibiotic,Syrup,629 mg,Eli Lilly and Company,Depression,Over-the-Counter,Ibuprofen
Amoximet,Antidiabetic,Syrup,676 mg,Amgen Inc.,Depression,Over-the-Counter,Amoxicillin
Dextronazole,Antidiabetic,Inhaler,422 mg,Novo Nordisk A/S,Fever,Prescription,Metronidazole
Ibuprostatin,Antiviral,Injection,192 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,Ibuprofen
Metomycin,Antipyretic,Syrup,96 mg,Bristol-Myers Squibb Company,Depression,Prescription,Metformin
Acetonazole,Antifungal,Capsule,875 mg,AstraZeneca plc,Infection,Prescription,Ketoconazole
Clariprofen,Antiviral,Cream,440 mg,Amgen Inc.,Infection,Over-the-Counter,Clarithromycin
Dextromycin,Antifungal,Injection,444 mg,Roche Holding AG,Fungus,Prescription,Azithromycin
Claricillin,Antidiabetic,Drops,786 mg,Novartis AG,Infection,Over-the-Counter,Clarithromycin
Ibuprostatin,Antibiotic,Tablet,996 mg,Eli Lilly and Company,Pain,Over-the-Counter,Ibuprofen
Dolovir,Antidiabetic,Ointment,486 mg,Johnson & Johnson,Pain,Prescription,Paracetamol
Amoxiprofen,Antipyretic,Inhaler,722 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,Amoxicillin
Dextrophen,Antidepressant,Capsule,489 mg,GlaxoSmithKline plc,Virus,Prescription,Dextromethorphan
Dextromet,Antidiabetic,Tablet,904 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Dextromethorphan
Ibuprocillin,Antifungal,Tablet,877 mg,Bayer AG,Diabetes,Over-the-Counter,Ibuprofen
Dextronazole,Antidepressant,Cream,11 mg,Pfizer Inc.,Depression,Prescription,Metronidazole
Acetonazole,Antidepressant,Cream,304 mg,Roche Holding AG,Fever,Over-the-Counter,Ketoconazole
Amoxicillin,Antiviral,Capsule,83 mg,Bristol-Myers Squibb Company,Pain,Prescription,Amoxicillin
Dextrophen,Analgesic,Inhaler,612 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,Dextromethorphan
Acetomet,Antiviral,Inhaler,509 mg,"Gilead Sciences, Inc.",Fever,Prescription,Paracetamol
Acetoprofen,Antipyretic,Tablet,708 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,Ibuprofen
Dolomycin,Antipyretic,Cream,625 mg,Pfizer Inc.,Pain,Prescription,Amoxicillin
Clariphen,Analgesic,Tablet,797 mg,Novo Nordisk A/S,Fever,Over-the-Counter,Clarithromycin
Dolostatin,Antiseptic,Inhaler,729 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Ibuprofen
Claristatin,Antibiotic,Tablet,228 mg,AstraZeneca plc,Virus,Prescription,Clarithromycin
Acetocillin,Antiviral,Syrup,397 mg,Bristol-Myers Squibb Company,Depression,Prescription,Paracetamol
Clarinazole,Antibiotic,Inhaler,511 mg,Amgen Inc.,Fungus,Prescription,Clarithromycin
Dolomet,Antiviral,Ointment,549 mg,CSL Limited,Depression,Prescription,Paracetamol
Claristatin,Antipyretic,Capsule,17 mg,CSL Limited,Depression,Over-the-Counter,Clarithromycin
Dolophen,Antidepressant,Cream,580 mg,Novo Nordisk A/S,Fungus,Prescription,Paracetamol
Amoxistatin,Antibiotic,Drops,955 mg,Sanofi S.A.,Fever,Over-the-Counter,Amoxicillin
Dolomycin,Analgesic,Injection,257 mg,AstraZeneca plc,Pain,Prescription,Amoxicillin
Clarinazole,Antifungal,Cream,594 mg,AbbVie Inc.,Virus,Over-the-Counter,Clarithromycin
Acetoprofen,Analgesic,Tablet,787 mg,Novartis AG,Fever,Prescription,Ibuprofen
Dextroprofen,Antipyretic,Inhaler,34 mg,Novartis AG,Fungus,Over-the-Counter,Ibuprofen
Amoximycin,Antidepressant,Tablet,294 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,Amoxicillin
Clariphen,Analgesic,Inhaler,643 mg,Johnson & Johnson,Fever,Over-the-Counter,Clarithromycin
Metocillin,Antidiabetic,Syrup,926 mg,Eli Lilly and Company,Infection,Over-the-Counter,Metformin
Amoxinazole,Analgesic,Ointment,708 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter,Amoxicillin
Cefmycin,Antifungal,Ointment,275 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,Ceftriaxone
Dextrocillin,Antibiotic,Drops,237 mg,"Merck & Co., Inc.",Fever,Prescription,Amoxicillin
Metostatin,Antifungal,Ointment,555 mg,Johnson & Johnson,Wound,Over-the-Counter,Metformin
Ibuprophen,Antiseptic,Drops,11 mg,Eli Lilly and Company,Wound,Over-the-Counter,Ibuprofen
Dolostatin,Antidepressant,Ointment,589 mg,"Merck & Co., Inc.",Wound,Prescription,Ibuprofen
Metomycin,Antiseptic,Inhaler,542 mg,AstraZeneca plc,Pain,Over-the-Counter,Metformin
Acetovir,Antidepressant,Cream,282 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Paracetamol
Ibuproprofen,Antifungal,Cream,583 mg,CSL Limited,Fever,Prescription,Ibuprofen
Metophen,Antidepressant,Injection,56 mg,Novartis AG,Wound,Prescription,Metformin
Dolostatin,Antiviral,Injection,363 mg,Johnson & Johnson,Infection,Over-the-Counter,Ibuprofen
Dolomet,Antifungal,Cream,30 mg,"Merck & Co., Inc.",Depression,Prescription,Paracetamol
Ibuprophen,Antidepressant,Ointment,403 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,Ibuprofen
Acetomycin,Antipyretic,Drops,52 mg,Amgen Inc.,Fever,Prescription,Amoxicillin
Clarinazole,Antidiabetic,Cream,911 mg,Biogen Inc.,Fever,Prescription,Clarithromycin
Acetoprofen,Antibiotic,Capsule,753 mg,Novo Nordisk A/S,Virus,Prescription,Ibuprofen
Metonazole,Antiseptic,Drops,819 mg,Pfizer Inc.,Wound,Over-the-Counter,Metronidazole
Dextromet,Analgesic,Drops,633 mg,Biogen Inc.,Pain,Prescription,Dextromethorphan
Metophen,Antipyretic,Capsule,545 mg,CSL Limited,Fungus,Over-the-Counter,Metformin
Cefcillin,Antiseptic,Injection,169 mg,CSL Limited,Depression,Over-the-Counter,Cefixime
Amoxiprofen,Analgesic,Ointment,425 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter,Amoxicillin
Cefvir,Analgesic,Capsule,305 mg,Bristol-Myers Squibb Company,Wound,Prescription,Cefixime
Amoxistatin,Antifungal,Cream,478 mg,AbbVie Inc.,Fever,Prescription,Amoxicillin
Cefmycin,Antidiabetic,Tablet,843 mg,Roche Holding AG,Virus,Over-the-Counter,Ceftriaxone
Ibuprostatin,Antidepressant,Ointment,841 mg,Novartis AG,Fever,Prescription,Ibuprofen
Metophen,Antipyretic,Inhaler,951 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,Metformin
Metostatin,Antipyretic,Drops,392 mg,Bayer AG,Virus,Prescription,Metformin
Amoximet,Antidiabetic,Injection,754 mg,Pfizer Inc.,Fever,Prescription,Amoxicillin
Metocillin,Antidiabetic,Syrup,260 mg,Amgen Inc.,Fever,Over-the-Counter,Metformin
Acetomet,Antidepressant,Drops,183 mg,Eli Lilly and Company,Depression,Prescription,Paracetamol
