Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Amoxistatin,Antiviral,Syrup,881 mg,AstraZeneca plc,Depression,Over-the-Counter
Acetovir,Antidiabetic,Cream,923 mg,Novartis AG,Fever,Prescription
Ibuprovir,Antidepressant,Inhaler,262 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Amoxicillin,Antibiotic,Capsule,214 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextrostatin,Antiseptic,Drops,469 mg,Pfizer Inc.,Fungus,Over-the-Counter
Amoximycin,Antidepressant,Drops,301 mg,Biogen Inc.,Virus,Over-the-Counter
Amoxistatin,Antidepressant,Injection,707 mg,Sanofi S.A.,Pain,Prescription
Metophen,Antidiabetic,Inhaler,668 mg,Eli Lilly and Company,Virus,Over-the-Counter
Dolophen,Antidepressant,Injection,59 mg,Bayer AG,Diabetes,Prescription
Metomet,Antidepressant,Tablet,781 mg,Sanofi S.A.,Fever,Prescription
Amoxinazole,Antipyretic,Drops,908 mg,Eli Lilly and Company,Infection,Prescription
Ibuproprofen,Antipyretic,Ointment,969 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Clarimycin,Antiviral,Tablet,965 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Amoxiprofen,Antibiotic,Cream,41 mg,AstraZeneca plc,Wound,Prescription
Claristatin,Antidiabetic,Ointment,460 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Metocillin,Antipyretic,Cream,763 mg,"Merck & Co., Inc.",Fungus,Prescription
Dolocillin,Analgesic,Drops,815 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibuproprofen,Antifungal,Cream,123 mg,Amgen Inc.,Virus,Prescription
Ibuprovir,Antiviral,Tablet,940 mg,Bristol-Myers Squibb Company,Pain,Prescription
Cefstatin,Antibiotic,Cream,811 mg,Amgen Inc.,Pain,Prescription
Dextronazole,Analgesic,Tablet,969 mg,Roche Holding AG,Wound,Over-the-Counter
Metomycin,Antiseptic,Inhaler,302 mg,Sanofi S.A.,Fever,Over-the-Counter
Amoxiphen,Antidiabetic,Cream,216 mg,"Gilead Sciences, Inc.",Infection,Prescription
Dextrocillin,Antibiotic,Capsule,490 mg,Sanofi S.A.,Pain,Prescription
Dextronazole,Analgesic,Ointment,105 mg,Sanofi S.A.,Fungus,Over-the-Counter
Metomet,Antibiotic,Inhaler,41 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Cefmycin,Antidepressant,Drops,690 mg,Roche Holding AG,Fever,Prescription
Amoxiphen,Antiseptic,Inhaler,619 mg,Roche Holding AG,Fungus,Over-the-Counter
Dolophen,Antidepressant,Tablet,152 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Clarivir,Antiseptic,Capsule,630 mg,GlaxoSmithKline plc,Fungus,Prescription
Dolocillin,Antidiabetic,Drops,976 mg,Novartis AG,Diabetes,Prescription
Dolovir,Antifungal,Tablet,915 mg,Novartis AG,Fungus,Prescription
Dextroprofen,Antipyretic,Syrup,362 mg,Novartis AG,Fever,Over-the-Counter
Amoxiphen,Antipyretic,Drops,456 mg,Sanofi S.A.,Fungus,Over-the-Counter
Metoprofen,Antifungal,Syrup,208 mg,AbbVie Inc.,Depression,Over-the-Counter
Amoxistatin,Analgesic,Drops,389 mg,Pfizer Inc.,Infection,Over-the-Counter
Cefmycin,Antifungal,Ointment,212 mg,Biogen Inc.,Wound,Prescription
Acetocillin,Antidiabetic,Ointment,551 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Acetostatin,Antidepressant,Cream,581 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dolocillin,Antipyretic,Ointment,154 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Amoximet,Antiviral,Inhaler,995 mg,Amgen Inc.,Virus,Prescription
Clariphen,Antipyretic,Injection,734 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Clarinazole,Antibiotic,Syrup,289 mg,Bayer AG,Diabetes,Over-the-Counter
Dolophen,Antiseptic,Drops,159 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Ibuprocillin,Antibiotic,Tablet,542 mg,Johnson & Johnson,Fever,Prescription
Cefcillin,Analgesic,Cream,47 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Ibuprostatin,Antibiotic,Syrup,283 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Cefphen,Antiseptic,Cream,688 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Cefvir,Analgesic,Cream,222 mg,Biogen Inc.,Depression,Prescription
Ibuproprofen,Antibiotic,Syrup,367 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Acetomet,Antidepressant,Syrup,152 mg,CSL Limited,Virus,Prescription
Amoximet,Antifungal,Ointment,702 mg,Novo Nordisk A/S,Fungus,Prescription
Dextromycin,Antidiabetic,Injection,667 mg,Amgen Inc.,Fever,Over-the-Counter
Cefmet,Antiseptic,Syrup,402 mg,AstraZeneca plc,Wound,Over-the-Counter
Dolomet,Antidiabetic,Cream,785 mg,GlaxoSmithKline plc,Infection,Prescription
Dolostatin,Antifungal,Capsule,550 mg,Biogen Inc.,Fever,Prescription
Doloprofen,Antidiabetic,Tablet,64 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Acetostatin,Antidiabetic,Syrup,635 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Claricillin,Antidiabetic,Ointment,482 mg,Roche Holding AG,Pain,Prescription
Dextromycin,Antiviral,Drops,464 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Cefphen,Antiseptic,Syrup,448 mg,Eli Lilly and Company,Diabetes,Prescription
Dolonazole,Antiviral,Injection,202 mg,GlaxoSmithKline plc,Virus,Prescription
Amoxinazole,Antiviral,Drops,715 mg,Amgen Inc.,Virus,Over-the-Counter
Amoxicillin,Antidepressant,Tablet,258 mg,AstraZeneca plc,Infection,Prescription
Metocillin,Antiviral,Tablet,354 mg,Novartis AG,Diabetes,Prescription
Metostatin,Antibiotic,Syrup,248 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Amoxicillin,Antibiotic,Syrup,730 mg,GlaxoSmithKline plc,Pain,Prescription
Cefprofen,Antiviral,Drops,783 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Metophen,Antidiabetic,Capsule,711 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Metophen,Antifungal,Capsule,122 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Ibuprostatin,Antiviral,Injection,934 mg,Bayer AG,Infection,Prescription
Dextrocillin,Antifungal,Cream,32 mg,Eli Lilly and Company,Infection,Over-the-Counter
Ibupromycin,Antidiabetic,Syrup,803 mg,AstraZeneca plc,Fungus,Prescription
Cefprofen,Antipyretic,Drops,627 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dolonazole,Antiseptic,Drops,745 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Metophen,Analgesic,Injection,423 mg,Amgen Inc.,Fever,Over-the-Counter
Ibuprocillin,Analgesic,Tablet,803 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Ibuprostatin,Antiviral,Inhaler,115 mg,Pfizer Inc.,Depression,Prescription
Dolonazole,Antidiabetic,Capsule,911 mg,Amgen Inc.,Fever,Over-the-Counter
Metomycin,Antiseptic,Injection,38 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Metoprofen,Antidepressant,Capsule,588 mg,AstraZeneca plc,Pain,Over-the-Counter
Metoprofen,Antiseptic,Injection,655 mg,GlaxoSmithKline plc,Infection,Prescription
Claricillin,Antipyretic,Drops,620 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Claricillin,Antidepressant,Tablet,469 mg,Amgen Inc.,Pain,Prescription
Dextrovir,Analgesic,Drops,713 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Metonazole,Antifungal,Capsule,725 mg,Johnson & Johnson,Infection,Prescription
Ibuprocillin,Antiseptic,Inhaler,919 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Dextrocillin,Analgesic,Injection,472 mg,"Gilead Sciences, Inc.",Pain,Prescription
Dextromycin,Antidepressant,Inhaler,232 mg,Roche Holding AG,Wound,Prescription
Dextrophen,Analgesic,Tablet,303 mg,AstraZeneca plc,Virus,Over-the-Counter
Amoxiprofen,Antipyretic,Tablet,412 mg,Biogen Inc.,Fever,Prescription
Cefmycin,Antipyretic,Cream,277 mg,CSL Limited,Fungus,Over-the-Counter
Ibupromycin,Antidiabetic,Drops,943 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Amoxinazole,Antifungal,Capsule,671 mg,AstraZeneca plc,Wound,Prescription
Amoxivir,Analgesic,Injection,96 mg,Novartis AG,Depression,Prescription
Cefvir,Antidiabetic,Syrup,837 mg,Johnson & Johnson,Pain,Prescription
Dolomycin,Antifungal,Ointment,177 mg,AbbVie Inc.,Virus,Over-the-Counter
Cefprofen,Antidiabetic,Injection,335 mg,GlaxoSmithKline plc,Fever,Prescription
Dolomycin,Antidiabetic,Syrup,242 mg,AbbVie Inc.,Pain,Prescription
Dextromycin,Antibiotic,Syrup,269 mg,CSL Limited,Fever,Over-the-Counter
Acetoprofen,Antiviral,Drops,857 mg,Sanofi S.A.,Depression,Prescription
Dextrophen,Antipyretic,Tablet,482 mg,Biogen Inc.,Fever,Prescription
Cefprofen,Antidepressant,Syrup,524 mg,CSL Limited,Infection,Prescription
Clariprofen,Antiseptic,Drops,41 mg,Biogen Inc.,Virus,Over-the-Counter
Dextromet,Antidiabetic,Capsule,318 mg,Bristol-Myers Squibb Company,Virus,Prescription
Doloprofen,Antidepressant,Syrup,882 mg,GlaxoSmithKline plc,Pain,Prescription
Acetophen,Antiviral,Inhaler,685 mg,Novartis AG,Virus,Prescription
Acetocillin,Antidiabetic,Tablet,316 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Metoprofen,Antiseptic,Injection,172 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Ibupronazole,Antidepressant,Capsule,434 mg,Biogen Inc.,Pain,Prescription
Ibupromet,Antipyretic,Injection,279 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Cefprofen,Antiseptic,Ointment,844 mg,CSL Limited,Fever,Prescription
Cefvir,Antiseptic,Tablet,907 mg,Novartis AG,Infection,Prescription
Ibuprovir,Antifungal,Injection,474 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Cefvir,Antibiotic,Ointment,27 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Cefmycin,Analgesic,Tablet,545 mg,Roche Holding AG,Depression,Prescription
Metoprofen,Analgesic,Cream,133 mg,Amgen Inc.,Infection,Over-the-Counter
Acetostatin,Analgesic,Capsule,665 mg,Amgen Inc.,Depression,Over-the-Counter
Acetoprofen,Antibiotic,Injection,83 mg,Amgen Inc.,Diabetes,Prescription
Ibuprocillin,Antidiabetic,Syrup,629 mg,Johnson & Johnson,Fever,Prescription
Ibuprovir,Antibiotic,Tablet,744 mg,Eli Lilly and Company,Infection,Prescription
Metovir,Antipyretic,Drops,513 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Amoxistatin,Antidepressant,Drops,267 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Acetomet,Antiseptic,Inhaler,955 mg,Bristol-Myers Squibb Company,Wound,Prescription
Metostatin,Antiviral,Ointment,603 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Dextrophen,Antiseptic,Tablet,66 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Amoxinazole,Antidiabetic,Inhaler,308 mg,Novartis AG,Infection,Prescription
Clariphen,Antidiabetic,Syrup,299 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Ibuproprofen,Antiseptic,Capsule,103 mg,Roche Holding AG,Fever,Over-the-Counter
Acetonazole,Antifungal,Injection,154 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Metomet,Antiseptic,Ointment,466 mg,Novartis AG,Fever,Prescription
Dextrophen,Analgesic,Drops,389 mg,Novartis AG,Diabetes,Over-the-Counter
Dolovir,Antibiotic,Syrup,478 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Ibupromycin,Analgesic,Drops,293 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Metoprofen,Antifungal,Tablet,707 mg,Biogen Inc.,Virus,Prescription
Dextrovir,Analgesic,Injection,938 mg,Amgen Inc.,Pain,Prescription
Dolophen,Antidepressant,Inhaler,85 mg,Roche Holding AG,Infection,Over-the-Counter
Clarivir,Analgesic,Capsule,6 mg,Bayer AG,Depression,Prescription
Dextrostatin,Antipyretic,Syrup,7 mg,Pfizer Inc.,Infection,Over-the-Counter
Dolovir,Antipyretic,Ointment,734 mg,Roche Holding AG,Depression,Prescription
Ibuprophen,Antiviral,Cream,634 mg,Bristol-Myers Squibb Company,Fever,Prescription
Claristatin,Antidepressant,Ointment,833 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Cefnazole,Analgesic,Inhaler,559 mg,Novartis AG,Pain,Over-the-Counter
Dolovir,Antidepressant,Drops,637 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Metophen,Antipyretic,Capsule,950 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dolocillin,Antidiabetic,Tablet,548 mg,Bayer AG,Pain,Over-the-Counter
Dextrocillin,Antiseptic,Inhaler,994 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Acetophen,Antiseptic,Drops,546 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Cefprofen,Antifungal,Ointment,419 mg,Roche Holding AG,Pain,Prescription
Dextrovir,Antifungal,Inhaler,969 mg,Biogen Inc.,Wound,Prescription
Cefmycin,Antibiotic,Cream,747 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Amoxinazole,Antibiotic,Cream,29 mg,"Merck & Co., Inc.",Wound,Prescription
Clariprofen,Antibiotic,Injection,872 mg,"Gilead Sciences, Inc.",Wound,Prescription
Metovir,Antifungal,Cream,576 mg,Biogen Inc.,Fever,Over-the-Counter
Dolonazole,Antibiotic,Drops,249 mg,Amgen Inc.,Virus,Prescription
Metomet,Antipyretic,Drops,953 mg,Pfizer Inc.,Pain,Prescription
Metophen,Antidepressant,Capsule,170 mg,Novartis AG,Fungus,Over-the-Counter
Amoxiprofen,Antiviral,Cream,112 mg,CSL Limited,Infection,Over-the-Counter
Clariprofen,Analgesic,Injection,964 mg,Johnson & Johnson,Fungus,Prescription
Amoxiphen,Antidepressant,Tablet,356 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Dextrostatin,Antiviral,Cream,5 mg,Amgen Inc.,Pain,Over-the-Counter
Clarimycin,Antifungal,Drops,209 mg,Johnson & Johnson,Infection,Over-the-Counter
Metomet,Antiviral,Injection,973 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Metophen,Antidiabetic,Inhaler,923 mg,Bayer AG,Virus,Prescription
Amoxistatin,Antiseptic,Cream,590 mg,Amgen Inc.,Wound,Over-the-Counter
Acetoprofen,Antiviral,Capsule,194 mg,Bayer AG,Infection,Prescription
Dextrophen,Antibiotic,Capsule,401 mg,Pfizer Inc.,Infection,Prescription
Acetomycin,Analgesic,Tablet,593 mg,AbbVie Inc.,Fever,Prescription
Clariprofen,Antidiabetic,Tablet,372 mg,"Gilead Sciences, Inc.",Depression,Prescription
Dolocillin,Antibiotic,Syrup,529 mg,"Gilead Sciences, Inc.",Fever,Prescription
Dolostatin,Antidiabetic,Ointment,65 mg,Bayer AG,Depression,Over-the-Counter
Cefphen,Antibiotic,Tablet,601 mg,Sanofi S.A.,Diabetes,Prescription
Dolomet,Antidepressant,Capsule,699 mg,AbbVie Inc.,Pain,Prescription
Clarimet,Antipyretic,Ointment,890 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Amoximet,Analgesic,Injection,355 mg,Bayer AG,Fever,Prescription
Dolomet,Antiseptic,Tablet,244 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Claricillin,Antiseptic,Capsule,452 mg,AstraZeneca plc,Fever,Prescription
Acetomet,Antipyretic,Injection,258 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Clarinazole,Antidiabetic,Drops,387 mg,Biogen Inc.,Depression,Over-the-Counter
Metocillin,Antiviral,Ointment,735 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dolonazole,Analgesic,Ointment,931 mg,Biogen Inc.,Infection,Prescription
Ibuproprofen,Antipyretic,Tablet,576 mg,CSL Limited,Diabetes,Prescription
Metomet,Analgesic,Cream,843 mg,Bristol-Myers Squibb Company,Pain,Prescription
Clarimycin,Antifungal,Cream,399 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Cefvir,Antibiotic,Cream,485 mg,Eli Lilly and Company,Pain,Prescription
Clarinazole,Antiviral,Syrup,992 mg,AbbVie Inc.,Depression,Prescription
Clariphen,Antidepressant,Capsule,674 mg,AstraZeneca plc,Wound,Prescription
Dextromycin,Antifungal,Ointment,305 mg,Bristol-Myers Squibb Company,Fever,Prescription
Cefprofen,Antidepressant,Inhaler,731 mg,AbbVie Inc.,Wound,Prescription
Ibuproprofen,Antiseptic,Capsule,604 mg,Eli Lilly and Company,Pain,Over-the-Counter
Ibuproprofen,Antipyretic,Cream,994 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dolostatin,Antibiotic,Ointment,922 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Dolomet,Antibiotic,Ointment,634 mg,Pfizer Inc.,Fever,Over-the-Counter
Ibuprostatin,Antipyretic,Injection,747 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Dextrovir,Antiviral,Injection,8 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Acetomycin,Antidepressant,Drops,892 mg,Eli Lilly and Company,Fever,Over-the-Counter
Amoxinazole,Antidiabetic,Cream,388 mg,Sanofi S.A.,Fever,Prescription
Cefmycin,Antiseptic,Drops,669 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Clarinazole,Antidepressant,Capsule,20 mg,Bayer AG,Depression,Prescription
Metophen,Antidepressant,Ointment,21 mg,Roche Holding AG,Diabetes,Prescription
Metomycin,Antiseptic,Capsule,188 mg,"Merck & Co., Inc.",Infection,Prescription
Acetovir,Antipyretic,Ointment,977 mg,Bristol-Myers Squibb Company,Pain,Prescription
Cefprofen,Analgesic,Inhaler,391 mg,Novartis AG,Virus,Prescription
Amoximet,Antiviral,Drops,91 mg,Eli Lilly and Company,Fever,Prescription
Dextromycin,Antidiabetic,Ointment,737 mg,Sanofi S.A.,Wound,Over-the-Counter
Amoxiphen,Antidepressant,Cream,407 mg,Sanofi S.A.,Depression,Prescription
Dolovir,Antibiotic,Cream,669 mg,Sanofi S.A.,Fungus,Over-the-Counter
Metonazole,Antidiabetic,Injection,235 mg,Eli Lilly and Company,Diabetes,Prescription
Acetomet,Antiseptic,Ointment,116 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Amoxistatin,Antipyretic,Ointment,229 mg,CSL Limited,Virus,Over-the-Counter
Cefstatin,Antibiotic,Tablet,594 mg,Roche Holding AG,Depression,Over-the-Counter
Metoprofen,Antibiotic,Inhaler,669 mg,Bristol-Myers Squibb Company,Infection,Prescription
Ibuprocillin,Antidiabetic,Inhaler,975 mg,Johnson & Johnson,Depression,Over-the-Counter
Metomet,Antidepressant,Injection,850 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Dextroprofen,Antifungal,Inhaler,135 mg,Bristol-Myers Squibb Company,Pain,Prescription
Cefprofen,Antiviral,Injection,310 mg,"Gilead Sciences, Inc.",Infection,Prescription
Cefmycin,Antiseptic,Inhaler,434 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibuproprofen,Antipyretic,Drops,284 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Dolomet,Antipyretic,Ointment,989 mg,AstraZeneca plc,Pain,Prescription
Clarinazole,Analgesic,Tablet,853 mg,CSL Limited,Infection,Prescription
Acetomycin,Antiviral,Tablet,448 mg,Novartis AG,Fever,Over-the-Counter
Dolostatin,Antibiotic,Tablet,284 mg,Novo Nordisk A/S,Diabetes,Prescription
Dolonazole,Analgesic,Tablet,669 mg,Sanofi S.A.,Pain,Over-the-Counter
Acetomet,Antiviral,Injection,369 mg,Biogen Inc.,Pain,Over-the-Counter
Clarimet,Antiseptic,Syrup,285 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Metophen,Analgesic,Drops,733 mg,AstraZeneca plc,Virus,Over-the-Counter
Acetocillin,Antidiabetic,Ointment,739 mg,Johnson & Johnson,Fever,Prescription
Amoxinazole,Antiseptic,Syrup,420 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dextrovir,Antidiabetic,Syrup,131 mg,Roche Holding AG,Diabetes,Over-the-Counter
Metocillin,Antiviral,Inhaler,604 mg,Sanofi S.A.,Infection,Over-the-Counter
Acetostatin,Analgesic,Injection,551 mg,CSL Limited,Wound,Prescription
Acetonazole,Antidepressant,Injection,992 mg,"Merck & Co., Inc.",Depression,Prescription
Dextronazole,Analgesic,Syrup,325 mg,"Gilead Sciences, Inc.",Depression,Prescription
Metovir,Antifungal,Injection,290 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Claricillin,Antifungal,Inhaler,962 mg,Bayer AG,Infection,Over-the-Counter
Clarimycin,Antifungal,Drops,211 mg,AbbVie Inc.,Virus,Over-the-Counter
Dextromycin,Antiviral,Injection,5 mg,Johnson & Johnson,Fungus,Over-the-Counter
Cefnazole,Antidiabetic,Tablet,734 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Acetomet,Antidiabetic,Ointment,538 mg,CSL Limited,Depression,Prescription
Claricillin,Antifungal,Injection,911 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Dextrovir,Antidepressant,Cream,317 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Metophen,Analgesic,Syrup,19 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Ibupromet,Antidiabetic,Inhaler,407 mg,AbbVie Inc.,Pain,Over-the-Counter
Dolostatin,Antiviral,Cream,990 mg,AbbVie Inc.,Pain,Prescription
Metophen,Antipyretic,Capsule,748 mg,Amgen Inc.,Pain,Over-the-Counter
Clarinazole,Antiseptic,Injection,998 mg,Eli Lilly and Company,Fungus,Prescription
Amoxistatin,Antidepressant,Tablet,653 mg,"Gilead Sciences, Inc.",Depression,Prescription
Dolovir,Antidiabetic,Tablet,521 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Ibuprovir,Antiseptic,Cream,159 mg,GlaxoSmithKline plc,Infection,Prescription
Metocillin,Antiseptic,Inhaler,146 mg,Bayer AG,Fungus,Prescription
Dolovir,Antibiotic,Capsule,191 mg,Johnson & Johnson,Pain,Over-the-Counter
Dextromet,Antidiabetic,Ointment,228 mg,AbbVie Inc.,Depression,Over-the-Counter
Amoxiphen,Antipyretic,Ointment,674 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Ibuprostatin,Antidepressant,Inhaler,317 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Cefstatin,Antidepressant,Injection,7 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Cefvir,Antidepressant,Capsule,370 mg,CSL Limited,Pain,Prescription
Clarivir,Antipyretic,Ointment,668 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Metomet,Analgesic,Injection,746 mg,Sanofi S.A.,Fever,Over-the-Counter
Metostatin,Antiseptic,Injection,3 mg,CSL Limited,Fungus,Prescription
Dolomycin,Antipyretic,Cream,9 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Ibuprocillin,Antiviral,Injection,653 mg,CSL Limited,Fever,Over-the-Counter
Dextromet,Antipyretic,Capsule,272 mg,Johnson & Johnson,Virus,Over-the-Counter
Dolocillin,Antifungal,Ointment,840 mg,AbbVie Inc.,Fungus,Over-the-Counter
Clarivir,Antiseptic,Ointment,736 mg,Pfizer Inc.,Pain,Prescription
Ibuproprofen,Antiviral,Tablet,554 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Claricillin,Antiseptic,Ointment,413 mg,Novo Nordisk A/S,Virus,Prescription
Amoxistatin,Antibiotic,Capsule,32 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Dolovir,Antidepressant,Syrup,454 mg,GlaxoSmithKline plc,Infection,Prescription
Dextrostatin,Antidiabetic,Injection,573 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Ibupromycin,Analgesic,Ointment,947 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Amoxinazole,Antiviral,Capsule,895 mg,Sanofi S.A.,Depression,Prescription
Clarinazole,Antipyretic,Tablet,111 mg,Johnson & Johnson,Diabetes,Prescription
Dolovir,Antidiabetic,Drops,263 mg,Amgen Inc.,Diabetes,Over-the-Counter
Dolophen,Antiseptic,Cream,198 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Dextrophen,Antibiotic,Cream,573 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Amoxiprofen,Antiseptic,Capsule,665 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Claristatin,Antibiotic,Cream,518 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Dextromycin,Antiviral,Cream,64 mg,Pfizer Inc.,Pain,Over-the-Counter
Ibuprovir,Analgesic,Inhaler,124 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Acetoprofen,Antibiotic,Injection,508 mg,CSL Limited,Pain,Prescription
Clarimycin,Analgesic,Drops,421 mg,Sanofi S.A.,Wound,Over-the-Counter
Claristatin,Antipyretic,Ointment,425 mg,AbbVie Inc.,Infection,Prescription
Metomet,Antiseptic,Capsule,803 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Amoxistatin,Antidiabetic,Drops,283 mg,Sanofi S.A.,Pain,Prescription
Dextrocillin,Antipyretic,Injection,177 mg,Novartis AG,Infection,Over-the-Counter
Acetovir,Analgesic,Capsule,142 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Amoxiprofen,Analgesic,Ointment,957 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Dolovir,Antifungal,Inhaler,384 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Acetoprofen,Antiviral,Capsule,902 mg,Sanofi S.A.,Virus,Prescription
Metostatin,Antiviral,Capsule,353 mg,Novo Nordisk A/S,Fungus,Prescription
Ibuprostatin,Antidepressant,Inhaler,641 mg,AstraZeneca plc,Depression,Over-the-Counter
Dextrophen,Antiviral,Drops,613 mg,Pfizer Inc.,Infection,Over-the-Counter
Metoprofen,Antibiotic,Ointment,581 mg,Biogen Inc.,Fungus,Over-the-Counter
Metomet,Antiseptic,Injection,713 mg,AbbVie Inc.,Virus,Prescription
Metocillin,Antidiabetic,Drops,276 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Dolonazole,Antipyretic,Capsule,494 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dextrovir,Antiseptic,Inhaler,54 mg,Novartis AG,Diabetes,Prescription
Clarivir,Analgesic,Ointment,87 mg,Biogen Inc.,Infection,Prescription
Amoxiprofen,Antipyretic,Syrup,250 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Cefmycin,Antidiabetic,Injection,832 mg,Novo Nordisk A/S,Virus,Over-the-Counter
